Sr. No.,Division,District,Institute Code,Year,Course,Institute Name,Capacity,Enrolled
6411,Chh. Sambhaji Nagar,Latur,1475,2024-25,GNM,"KESARI NURSING COLLEGE, AHMEDPUR, LATUR",40,40
6412,Chh. Sambhaji Nagar,Latur,1504,2024-25,GNM,"SAKSHAM NURSING SCHOOL (G.N.M) UDGIR, LATUR",40,40
6413,Chh. Sambhaji Nagar,Latur,1538,2024-25,GNM,"SWARA INSTITUTE OF NURSING, G.N.M., HARANGUL, LATUR",60,36
6414,Chh. Sambhaji Nagar,Latur,1552,2024-25,GNM,"VENKATESH CHOUDHARY COLLEGE OF NURSING EKURKA ROAD, UDGIR, LATUR",40,0
6415,Chh. Sambhaji Nagar,Latur,1554,2024-25,GNM,"GLOBAL COLLEGE OF NURSING, LATUR",40,40
6416,Chh. Sambhaji Nagar,Latur,1563,2024-25,GNM,"SAVITRIBAI PHULE INSTITUTE OF NURSING, AUSA, LATUR",60,50
6417,Chh. Sambhaji Nagar,Latur,1585,2024-25,GNM,"RAJNANADA SCHOOL OF NURSING, LATUR",40,0
6418,Chh. Sambhaji Nagar,Latur,1586,2024-25,GNM,"N.B.S. INSTITUTE OF NURSING, AUSA, LATUR",40,6
6419,Chh. Sambhaji Nagar,Latur,1593,2024-25,GNM,"DISHA NURSING SCHOOL, LATUR",40,40
6420,Chh. Sambhaji Nagar,Latur,1612,2024-25,GNM,"SAI NURSING SCHOOL, LATUR",40,11
6421,Chh. Sambhaji Nagar,Latur,264,2024-25,GNM,"SANT TUKARM INSTITUTE OF NURSING EDUCATION, AHMEDPUR, LATUR",60,60
6422,Chh. Sambhaji Nagar,Latur,335,2024-25,GNM,"G.B .PATIL SCHOOL OF NURSING, UDGIR, LATUR",60,60
6423,Chh. Sambhaji Nagar,Latur,336,2024-25,GNM,"SHRI BHAGWAN NURSING SCHOOL, LATUR",20,20
6424,Chh. Sambhaji Nagar,Latur,351,2024-25,GNM,"MAHARASHTRA COLLEGE OF NURSING, KAVA, LATUR",45,42
6425,Chh. Sambhaji Nagar,Latur,356,2024-25,GNM,"NAVJEEVAN CHARITABLE TRUST, LATUR",60,60
6426,Chh. Sambhaji Nagar,Latur,408,2024-25,GNM,"MAHARASHTRA INSTITUTE OF MED. SCI RE. NSG, LATUR",40,40
6427,Chh. Sambhaji Nagar,Latur,492,2024-25,GNM,"New Vision School of Nursing, Latur",60,60
6428,Chh. Sambhaji Nagar,Latur,546,2024-25,GNM,"SWAMI VIVEKANAND SCHOOL OF NURSING, UDGIR, LATUR",50,27
6429,Chh. Sambhaji Nagar,Latur,696,2024-25,GNM,"JIJAMATA NURSING SCHOOL, LATUR",20,20
6430,Chh. Sambhaji Nagar,Latur,748,2024-25,GNM,"SAVITHRIBAI PULE NURSING SCHOOL, JALKOT, LATUR",60,48
