Sr. No.,Division,District,Institute Code,Year,Course,Institute Name,Capacity,Enrolled
3425,Amravati,Akola,148,2022-23,ANM,"MAHATMA PHULE INSTITUTE OF NURSING, AKOLA",60,60
3426,Nagpur,Wardha,149,2022-23,ANM,"SHALOM SCHOOL OF NURSING, WARDHA",40,30
3427,Nagpur,Wardha,151,2022-23,ANM,"KASABAI SCHOOL OF NURSING, SEVAGRAM,WARDHA",20,9
3428,Amravati,Buldana,152,2022-23,ANM,"INDIRA BAHU. SHIKSHAN SANSTHS, SCHOOL OF NURSING, SAGWAN, BULDHANA",20,12
3429,Amravati,Buldana,153,2022-23,ANM,"INDIRA BAHU SHIKSHAN SANSTHS, SCHOOL OF NURSING,BELAD MALKAPUR",20,20
3430,Nagpur,Bhandara,155,2022-23,ANM,"SHARDA NURSING SCHOOL, KHAPA TUMSAR, BHANDARA",20,11
3431,Chh. Sambhaji Nagar,Nanded,158,2022-23,ANM,"SHRI GURU GOVINDSINGHJI MEMORIAL HOSPITAL, SON, NANDED",40,40
3432,Chh. Sambhaji Nagar,Nanded,159,2022-23,ANM,"SMT. PRAMILATAI BHALERAO SCHOOL OF NURSING, Nanded",30,24
3433,Chh. Sambhaji Nagar,Dharashiv,161,2022-23,ANM,"GENERAL HOSPITAL, SON, OSMANABAD",40,39
3434,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,168,2022-23,ANM,"SHRI DHANESHWARI MANAV VIKAS MANDAL,  AURANGABAD",20,20
3435,Chh. Sambhaji Nagar,Jalna,169,2022-23,ANM,"SHRI SAI  INSTITUE OF NURSING, JALNA",20,2
3436,Chh. Sambhaji Nagar,Parbhani,170,2022-23,ANM,"MAULI INSTITUTE OF NURSING, PARBHANI",20,18
3437,Chh. Sambhaji Nagar,Latur,174,2022-23,ANM,"INDIRA GANDHI NURSING SCHOOL, LATUR",30,27
3438,Konkan,Sindhudurg,199,2022-23,ANM,"MANAV SADHAN VIKAS SANSTHA, SON, KUDAL, SINDHUDURG",40,1
3439,Konkan,Thane,201,2022-23,ANM,"INSTITUTE  OF  NURSING  EDUCATION , DOMBIVALI",20,12
3440,Nashik,Nashik,206,2022-23,ANM,"SAHYADRI SEVA SANSTHA , INSTITUTE OF NURSING , NASIK",20,9
3441,Konkan,Raigarh,208,2022-23,ANM,"PRABHAKAR PATIL INSTITUTE OF NURSING EDUCATION, PEN",20,19
3442,Pune,Pune,221,2022-23,ANM,"Maharshi Karve Stree Shikshan Sanstha SMT BAKUL TAMBAT INSTITUTE OF NURSING EDUCATION, KARVE NAGAR PUNE",30,30
3443,Pune,Pune,226,2022-23,ANM,"DWARIKA SANGAMNER INSTITUTE OF NURSING EDUCATION, PUNE",20,14
3444,Pune,Sangli,228,2022-23,ANM,"LOKNETE RAJARAMBAPU PATIL , TRG. COLL. OF NURSING , ISLAMPUR, WALWA, SANGLI",20,15
3445,Pune,Sangli,230,2022-23,ANM,"KASEGAON EDUCATION SOCIETY, SCHOOL OF NURSING, ISLAMPUR, SANGLI",20,20
3446,Pune,Pune,231,2022-23,ANM,"C Y DANGAT PATIL SHIKSHAN AND KRIDA MANDAL, SCHOOL OF NURSING , PUNE",20,16
3447,Pune,Pune,232,2022-23,ANM,"GIRIRAJ SCHOOL OF NURSING , BARAMATI",50,49
3448,Pune,Satara,233,2022-23,ANM,"LATE NARAYANDAS BHAWANGDAS CHHABADA TRAINING COLLEGE OF NURSING, SATARA",20,20
3449,Pune,Solapur,241,2022-23,ANM,"SAHARA INSTITUTE OF NURSING EDUCATION, AKLUJ , SOLAPUR",20,17
3450,Nagpur,Nagpur,251,2022-23,ANM,"SURETECH COLLEGE OF NURSING, NAGPUR",30,20
3451,Nagpur,Gadchiroli,253,2022-23,ANM,"DR. SALVE NURSING INSTITUTE  COLLEGE , GADCHIROLI",30,9
3452,Amravati,Yavatmal,256,2022-23,ANM,"PRUTHVIRAJ DESHMUKH NURSING INSTITUTE, LOHARA, YAVATMAL",20,14
3453,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,259,2022-23,ANM,"MAHATMA GANDHI MISSION INSTITUTE OF NURSING EDUCATION, AURANGABAD",20,15
3454,Chh. Sambhaji Nagar,Latur,262,2022-23,ANM,"GENERAL HOSPITAL, LATUR",40,31
3455,Nagpur,Nagpur,266,2022-23,ANM,"ARNEJA INSTITUTE OF NURSING SCIENCES , NAGPUR",20,11
3456,Nagpur,Nagpur,267,2022-23,ANM,"ASHARAM SCHOOL OF NURSING , NAGPUR",20,20
3457,Pune,Satara,270,2022-23,ANM,"SHAKUNTALA  INSTITUTE OF NURSING EDUCATION , SATARA",20,18
3458,Chh. Sambhaji Nagar,Dharashiv,271,2022-23,ANM,"INDIRA GANDHI NURSING SCHOOL, OSMANABAD",20,15
3459,Pune,Kolhapur,272,2022-23,ANM,"SAU. JEBELINA NURSING SCHOOL, GARGOTI, KOLHAPUR",20,20
3460,Chh. Sambhaji Nagar,Nanded,273,2022-23,ANM,"INDIRA GANDHI NURSING SCHOOL, MUKHED, NANDED",20,20
3461,Amravati,Amravati,274,2022-23,ANM,"UTTAMRAO UMAK MEMORIAL NURSING SCHOOL,  ANJANGAON, AMRAVATI",20,20
3462,Amravati,Amravati,275,2022-23,ANM,"KAMLABAI UMAK NURSING SCHOOL, AMRAVATI",20,20
3463,Amravati,Amravati,276,2022-23,ANM,"LAXMANRAO UMAK MEMORIAL NURSING SCHOOL, BADNERA, AMRAVATI",20,20
3464,Nashik,Ahilyanagar,278,2022-23,ANM,"PARVATIBAI MHASKE INSTITUTE OF NURSING, AHMEDNAGAR",20,9
3465,Chh. Sambhaji Nagar,Nanded,279,2022-23,ANM,"LOTUS NURSING INSTITUTE, NANDED",20,19
3466,Nagpur,Nagpur,280,2022-23,ANM,"MATRU SEVA SANGH NURSING SCHOOL,SITABULDI ,MATERNITY HOME NAGPUR",40,21
3467,Konkan,Ratnagiri,281,2022-23,ANM,"SAMARTH INSTITUTE OF NURSING EDUCATION, DERVAN",20,20
3468,Nashik,Ahilyanagar,282,2022-23,ANM,"MAHARASHTRA HOMOEOPATHIC FOUNDATIONS SCHOOL OF NURSING , PATHAR ,  AHMEDNAGAR",20,20
3469,Chh. Sambhaji Nagar,Jalna,283,2022-23,ANM,"VASANTRAO NAIK SHIKSHAN PRASARAK MANDAL, JALNA",20,8
3470,Pune,Sangli,284,2022-23,ANM,"ADARSH NURSING SCHOOL, VITA, SANGLI",20,19
3471,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,286,2022-23,ANM,"MATA GIRIJA SCHOOL OF NURSING, AURANGABAD.",20,20
3472,Pune,Kolhapur,287,2022-23,ANM,"KURUNDWAD INST. OF NURSING EDUCATION,SHIROL, KOLHAPUR",20,20
3473,Amravati,Akola,289,2022-23,ANM,"RADHIKA NURSING SCHOOL, AKOLA",20,20
3474,Chh. Sambhaji Nagar,Parbhani,290,2022-23,ANM,"MATOSHRI NURSING SCHOOL, PARBHANI",20,20
3475,Pune,Sangli,294,2022-23,ANM,"HUTATMA INSTITUTE OF NURSING , WALWA , SANGLI",20,20
3476,Pune,Solapur,296,2022-23,ANM,"BINIT NURSING INSTITUTE , SOLAPUR",20,20
3477,Nashik,Dhule,297,2022-23,ANM,"NANDA AAI BAHU. NURSING TRAINING CENTRE, DEOPUR, DHULE",20,17
3478,Amravati,Akola,299,2022-23,ANM,"ANGLE OF MERCY INSTITUTE OF NURSING SCIENCE, AKOLA",20,16
3479,Pune,Pune,301,2022-23,ANM,"PUKHRAJ NAGRAJ RANKA SCHOOL OF NURSING , PUNE",20,17
3480,Pune,Satara,303,2022-23,ANM,"APARNA INST. OF NURSING EDUCATION , KARAD",20,3
3481,Chh. Sambhaji Nagar,Nanded,304,2022-23,ANM,"DR. G. A. GAIKWAD INSTITUTE OF NURSING, DEGLOOR, NANDED",20,17
3482,Pune,Kolhapur,305,2022-23,ANM,"CREATIVE NURSING SCHOOL , GADHINGLAJ , KOLHAPUR",20,20
3483,Pune,Satara,306,2022-23,ANM,"SANJEEVAN MEDICAL COLLEGE OF NURSING , SATARA",30,30
3484,Nashik,Ahilyanagar,307,2022-23,ANM,"WAMANRAO ITHAPE NURSING COLLEGE, SANGAMNER, AHMEDNAGAR",30,25
3485,Chh. Sambhaji Nagar,Beed,308,2022-23,ANM,"YASHWANT NURSING SCHOOL, ASHTI, BEED",20,20
3486,Nashik,Nashik,309,2022-23,ANM,"SHREE SWAMI NARAYAN  NURSING INSTITUE, NASIK",40,27
3487,Chh. Sambhaji Nagar,Beed,310,2022-23,ANM,"S.S.P.M. NURSING COLLEGE, ASHTI, BEED",20,20
3488,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,311,2022-23,ANM,"SAKOLKAR NURSING SCHOOL, AURANGABAD",20,13
3489,Pune,Pune,312,2022-23,ANM,"GENERAL HOSPITAL, AUNDH, PUNE",40,39
3490,Chh. Sambhaji Nagar,Beed,313,2022-23,ANM,"DR. T. M. DHONDE SCHOOL OF NURSING, ASHTI , BEED",30,30
3491,Chh. Sambhaji Nagar,Beed,314,2022-23,ANM,"NEW NURSING SCHOOL, BEED",20,20
3492,Chh. Sambhaji Nagar,Dharashiv,316,2022-23,ANM,"JEEVAN JYOT AROGYA SHIKSHAN SANSTHA, SCHOOL OF NURSING, OSMANABAD",20,6
3493,Pune,Pune,317,2022-23,ANM,"TEJASWINI NURSING SCHOOL, JUNNAR, PUNE",40,36
3494,Pune,Pune,318,2022-23,ANM,"SHARDABAI PAWAR INSTITUTE OF NURSING, PUNE",40,34
3495,Nashik,Jalgaon,323,2022-23,ANM,"GODAVARI COLLEGE OF  NURSING , JALGAON",30,29
3496,Nashik,Nashik,325,2022-23,ANM,"MATOSHRI SCHOOL OF A.N.M. NURSING , EKLAHARE, NASIK",60,33
3497,Amravati,Amravati,326,2022-23,ANM,"BHAKTI VEDANT SCHOOL OF NURSING, AMRAVATI",20,0
3498,Amravati,Washim,327,2022-23,ANM,"MANSI COLLEGE OF NURSING , WASHIM",40,38
3499,Nagpur,Wardha,328,2022-23,ANM,"EKVIRA DEVI EDUCATION SOCIETY, SCHOOL OF NURSING, WARDHA",20,0
3500,Nagpur,Nagpur,329,2022-23,ANM,"MOTHER TERESA NURSING INSTITUTE , NAGPUR",20,20
3501,Nashik,Nashik,330,2022-23,ANM,"MATOSHRI SCHOOL OF A.N.M. NURSING , BABULGAON , NASIK",60,34
3502,Nagpur,Wardha,331,2022-23,ANM,SARASWATI NURSING SCHOOL GUNJKHEDA WARDHA,60,45
3503,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,332,2022-23,ANM,"RAMKRISHANA NURSING SCHOOL, SILLOD, AURANGABAD",20,11
3504,Amravati,Amravati,333,2022-23,ANM,"FLORENCE NIGHTINGLE NURSING SCHOOL, AMRAVATI",30,30
3505,Amravati,Amravati,334,2022-23,ANM,"EKVIRA SCHOOL OF NURSING , DARYAPUR , AMRAVATI",20,20
3506,Chh. Sambhaji Nagar,Latur,335,2022-23,ANM,"G.B .PATIL SCHOOL OF NURSING, UDGIR, LATUR",20,17
3507,Chh. Sambhaji Nagar,Latur,336,2022-23,ANM,"SHRI BHAGWAN NURSING SCHOOL, LATUR",20,10
3508,Amravati,Amravati,341,2022-23,ANM,"M.J. PAWADE NURSING SCHOOL, WARUD,  AMRAVATI",20,20
3509,Nashik,Ahilyanagar,342,2022-23,ANM,"SAI NURSING INSTITUTE , RAHATA, AHMEDNAGAR",20,12
3510,Nagpur,Nagpur,343,2022-23,ANM,"MADHUKARRAO MAHAKALKAR NURSING SCHOOL , DIGHORI , NAGPUR",30,23
3511,Chh. Sambhaji Nagar,Dharashiv,349,2022-23,ANM,"HALO NURSING SCHOOL, ANADUR, TULJAPUR",20,11
3512,Amravati,Buldana,350,2022-23,ANM,"RAJSHREE SCHOOL OF NURSING, MEHKAR, BULDANA",20,16
3513,Konkan,Ratnagiri,352,2022-23,ANM,M.E.S SCHOOL OF NURSING KHED RATNAGIRI,30,29
3514,Chh. Sambhaji Nagar,Latur,353,2022-23,ANM,"YASHWANT NURSING TRAINING SCHOOL, AHMADPUR, LATUR",20,20
3515,Pune,Kolhapur,355,2022-23,ANM,"SAHAKAR MAHARSHI TATYASHEB KORE NURSING SCHOOL , HATKANGALE, KOLHAPUR",20,20
3516,Chh. Sambhaji Nagar,Latur,356,2022-23,ANM,"NAVJEEVAN CHARITABLE TRUST, LATUR",20,20
3517,Amravati,Buldana,359,2022-23,ANM,"HARSH SCHOOL OF NURSING, KHAMGAON, BULDANA",20,17
3518,Nagpur,Gadchiroli,360,2022-23,ANM,"NAVJEEVAN NURSING SCHOOL, CHAMORSHI, GADCHIROLI",20,20
3519,Konkan,Sindhudurg,362,2022-23,ANM,"BR. NATH PAI INSTITUTE OF NURSING, PINGULI, SINDHUDURGA",40,16
3520,Chh. Sambhaji Nagar,Latur,363,2022-23,ANM,"BHIVRAI NURSING SCHOOL, LATUR",20,19
3521,Chh. Sambhaji Nagar,Latur,364,2022-23,ANM,"BALVIKAS MAHILA MANDAL, SCHOOL OF NURSING, LATUR",20,20
3522,Chh. Sambhaji Nagar,Parbhani,365,2022-23,ANM,"BHARATRATNA MOTHER TERSA NURSING SCHOOL, SELU, PARBHANI",20,20
3523,Chh. Sambhaji Nagar,Dharashiv,366,2022-23,ANM,"SAI NURSING SCHOOL, OSMANABAD",20,0
3524,Chh. Sambhaji Nagar,Parbhani,367,2022-23,ANM,"INSTITUTE OF NURSING EDUCATION,MANWATH, PARBHANI",20,16
3525,Nashik,Jalgaon,368,2022-23,ANM,"DADASAHEB DR. SURESH G. PATIL COLLEGE OF NURSING , CHOPDA , JALGAON",40,40
3526,Nashik,Ahilyanagar,370,2022-23,ANM,"BAHUJAN SAMAJ PRABODHAN SCHOOL OF NURSING, AKOLE, AHMEDNAGAR",20,13
3527,Chh. Sambhaji Nagar,Latur,371,2022-23,ANM,"LATE MAHALINGE SWAMI NURSING SCHOOL, LATUR",20,20
3528,Amravati,Amravati,372,2022-23,ANM,"SMT. VASUNDHARABAI GHUIKHEDKAR NURSING SCHOOL, AMRAVATI",60,60
3529,Nagpur,Wardha,373,2022-23,ANM,"PARVATIBAI SCHOOL OF NURSING, WARDHA",30,30
3530,Chh. Sambhaji Nagar,Parbhani,374,2022-23,ANM,"TIRUPATI NURSING SCHOOL,PARBHANI",40,40
3531,Amravati,Yavatmal,377,2022-23,ANM,"SHRI SWAMI SAMARTH NURSING SCHOOL, YAVATMAL",20,20
3532,Nagpur,Bhandara,378,2022-23,ANM,"POOJA NURSING INSTITUTE , BHANDARA",40,40
3533,Amravati,Amravati,381,2022-23,ANM,"MELGHAT NURSING SCHOOL , PARATWADA , AMRAVATI",20,18
3534,Chh. Sambhaji Nagar,Latur,383,2022-23,ANM,"RASTRAMATA JIJAU NURSING SCHOOL, NILANGA, LATUR",20,18
3535,Chh. Sambhaji Nagar,Beed,385,2022-23,ANM,"RAGHUNATHRAO MUNDHE INSTITUTE OF NURSING, AMBEJOGAI, BEED",20,10
3536,Pune,Satara,386,2022-23,ANM,"SHIVRASHTRA COLLEGE OF NURSING , KARAD , SATARA",20,20
3537,Pune,Pune,393,2022-23,ANM,"JAY INSTITUTE OF NURSING , INDAPUR , PUNE",20,18
3538,Chh. Sambhaji Nagar,Latur,394,2022-23,ANM,"TIRMULLA  A.N.M. NURSING SCHOOL, JALKOT, LATUR",20,20
3539,Pune,Solapur,395,2022-23,ANM,"RAJMATA JIJAU NURSING SCHOOL, PANDHARPUR",20,19
3540,Konkan,Sindhudurg,400,2022-23,ANM,"GENERAL HOSPITAL,  SINDHUDURG",40,38
3541,Chh. Sambhaji Nagar,Beed,401,2022-23,ANM,"VAIDYANATH NURSING SCHOOL, ,PARALIVAIJNATH, BEED",40,16
3542,Pune,Pune,405,2022-23,ANM,"JANAKI INSTITUTE OF NURSING EDUCATION , PUNE",20,18
3543,Amravati,Yavatmal,410,2022-23,ANM,"SHRI VINAYAKRAOBAPU DESHMUKH NURSING SCHOOL , SAWARGAON , YAVATMAL",60,59
3544,Chh. Sambhaji Nagar,Beed,412,2022-23,ANM,"JIJAMATA SCHOOL OF NURSING, MAJALGAON, BEED",20,2
3545,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,415,2022-23,ANM,"AURANGABAD NURSING SCHOOL, BHALGAON, AURANGABAD",20,20
3546,Chh. Sambhaji Nagar,Latur,420,2022-23,ANM,"SANT RAMBHAU A.N.M. SCHOOL , AHMEDPUR , LATUR",20,20
3547,Chh. Sambhaji Nagar,Parbhani,421,2022-23,ANM,"MADHAV A.N.M. SCHOOL, PARBHANI",20,16
3548,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,423,2022-23,ANM,"PAITHAN NURSING SCHOOL, PAITHAN, AURANGABAD",20,17
3549,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,424,2022-23,ANM,"PRIYANKA GANDHI NURSING SCHOOL, AURANGABAD",20,0
3550,Nashik,Dhule,425,2022-23,ANM,"KIRAN NURSING SCHOOL, KAPADNE, DHULE",20,0
3551,Nagpur,Bhandara,426,2022-23,ANM,"PAWANRAJA NURSING SCHOOL , PAUNI , BHANDARA",30,25
3552,Nashik,Dhule,427,2022-23,ANM,"SAU. R.G. MALI NURSING COLLEGE, AKLAD , DHULE",20,11
3553,Pune,Kolhapur,428,2022-23,ANM,"SHRI BHAIRAVNATH NURSING SCHOOL , ICHALKARANJI  , KOLHAPUR",20,20
3554,Amravati,Yavatmal,431,2022-23,ANM,"MATOSHRI ORGANIZATION OF NURSING EDUCATION , YAVATMAL",20,20
3555,Chh. Sambhaji Nagar,Jalna,432,2022-23,ANM,"JALNA NURSING SCHOOL, SHELGAON, JALNA",20,0
3556,Pune,Solapur,434,2022-23,ANM,"MODERN INSTITUTE OF NURSING, MADHA, SOLAPUR",20,10
3557,Chh. Sambhaji Nagar,Jalna,446,2022-23,ANM,"GENERAL HOSPITAL, JALANA",40,34
3558,Pune,Solapur,449,2022-23,ANM,"DHANVANTERI SCHOOL OF NURSING , MALSHIRAS , SOLAPUR",30,22
3559,Chh. Sambhaji Nagar,Parbhani,476,2022-23,ANM,"Dr.Prafulla Patil Nursing School, Parbhani",20,20
3560,Chh. Sambhaji Nagar,Parbhani,477,2022-23,ANM,"BELESHWAR INSTITUTE OF NURSING, PARBHANI",20,20
3561,Pune,Satara,480,2022-23,ANM,"BEL AIR COLLEGE OF NURSING, PANCHAGANI, SATARA",30,30
3562,Pune,Kolhapur,481,2022-23,ANM,"SAVITRIBAI PHULE COLLEGE OF NURSING, KOLHAPUR",20,18
3563,Nagpur,Nagpur,482,2022-23,ANM,SMT. HANSABEN NURSING SCHOOL NAGPUR,20,20
3564,Konkan,Thane,484,2022-23,ANM,"NAVJEEVAN SCHOOL OF NURSING, SHAHAPUR, THANE",20,20
3565,Konkan,Thane,485,2022-23,ANM,"DAYANAND SCHOOL OF NURSING, VADOLI TALASARI THANE",25,23
3566,Konkan,Raigarh,486,2022-23,ANM,"PRATIBHA SCHOOL OF NURSING, KOPERKHAIRANE, NAVI MUMBAI",20,19
3567,Konkan,Sindhudurg,487,2022-23,ANM,"SARASWATI ANM NURSING SCHOOL, KANKAVLI, SINDHUDURG",20,18
3568,Nashik,Nashik,488,2022-23,ANM,"SAI NURSING SCHOOL, MALEGAON NASHIK",20,20
3569,Konkan,Thane,489,2022-23,ANM,"N. K. T. T. SCHOOL OF NURSING, BHIWANDI, THANE",20,18
3570,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,490,2022-23,ANM,"Manik Nursing School, Garkhed, Aurangabad",20,20
3571,Chh. Sambhaji Nagar,Latur,492,2022-23,ANM,"New Vision School of Nursing, Latur",20,12
3572,Chh. Sambhaji Nagar,Beed,493,2022-23,ANM,MAULI NURSING SCHOOL BARSHI ROAD BEED,20,20
3573,Chh. Sambhaji Nagar,Jalna,494,2022-23,ANM,"Mathsyodari Nursing School, Tal  Ambad, Jalna",20,20
3574,Chh. Sambhaji Nagar,Beed,495,2022-23,ANM,"ANKITA DOUND INSTITUTE OF NURSING SCHOOL, AMBAJOGAI, BEED",20,8
3575,Chh. Sambhaji Nagar,Parbhani,496,2022-23,ANM,"SAKSHI NURSING SCHOOL, MANWAT, PARBHANI",20,0
3576,Nashik,Nashik,497,2022-23,ANM,"SWAMI VIVEKANAND SANSTHA, MALEGAON, NASHIK",20,17
3577,Pune,Pune,499,2022-23,ANM,"Sushrusha Nursing School, Ap  Daund, Pune",50,6
3578,Pune,Pune,500,2022-23,ANM,"SUSHILA NURSING SCHOOL, DAUND, PUNE",20,20
3579,Pune,Sangli,501,2022-23,ANM,"CHINGUAAI INSTITUTE OF NURSING EDUCATION, KAVATHE MAHANKAL, SANGLI",20,9
3580,Pune,Kolhapur,502,2022-23,ANM,"SANJEEVA NURSING SCHOOL, KOLHAPUR",20,20
3581,Nashik,Ahilyanagar,505,2022-23,ANM,"SAVITRIBAI PHULE ANM NURSING COLLEGE, SHRIGONDA, AHMEDNAGAR",20,0
3582,Nashik,Ahilyanagar,506,2022-23,ANM,"KOPERGAON TALUKA VIDYARTHI SAHAYYAK SCHOOL OF NURSING,KOPERGAON",20,20
3583,Pune,Sangli,507,2022-23,ANM,"ABHINAV INSTITUTE OF NURSING EDUCATION, MIRAJ, SANGLI",20,18
3584,Pune,Pune,508,2022-23,ANM,"PRIYADARSHINI SHAK. BAU. GRAM VIKAS MAHILA SEVABHAVI MANDAL, SCHOOL OF NURSING, SHIRUR, PUNE",20,20
3585,Chh. Sambhaji Nagar,Jalna,509,2022-23,ANM,"Shraddha Commercial  Technical Institute Society, Jalna",20,18
3586,Nagpur,Bhandara,512,2022-23,ANM,"ASHIRWAD NURSING SCHOOL OF ANM, SAKOLI BHANDARA",40,38
3587,Amravati,Yavatmal,513,2022-23,ANM,"Jeevan Rekha  School of Nursing, Tal  Umarkhed, Yavatmal",20,20
3588,Amravati,Yavatmal,514,2022-23,ANM,"Sanjeevan Nursing School, Yavatmal,",20,19
3589,Nagpur,Nagpur,515,2022-23,ANM,"SUVARNA SCHOOL OF NURSING SAONER, NAGPUR",20,20
3590,Nagpur,Nagpur,516,2022-23,ANM,"Indira Gandhi ANM Nursing School, Tal  Bhiwapur, Nagpur",20,20
3591,Amravati,Yavatmal,517,2022-23,ANM,"Yash Institute of Nursing, Athori Bazar, Yavatmal",40,40
3592,Nagpur,Wardha,523,2022-23,ANM,"NEW MAHARASHTRA INSTITUTE OF NURSING, MAHADEVPURA, WARDHA",20,0
3593,Nashik,Ahilyanagar,524,2022-23,ANM,"SHREE SAI NURSING SCHOOL, JAMKHED, AHMEDNAGAR",20,2
3594,Pune,Sangli,526,2022-23,ANM,"VIDYA SAGAR NURSING SCHOOL, SANGLI",20,15
3595,Nagpur,Gondia,531,2022-23,ANM,"Shri Dattatraya Prabhu Bahu. Shikshan Sanstha, Tiroda, Gondia",30,30
3596,Chh. Sambhaji Nagar,Nanded,533,2022-23,ANM,"Sharadrao Nursing College, Naigona Nanded",20,19
3597,Chh. Sambhaji Nagar,Nanded,534,2022-23,ANM,DHARTI SCHOOL OF NURSING MALEGAON RD NANDED,20,20
3598,Chh. Sambhaji Nagar,Nanded,535,2022-23,ANM,"Satabai Landge Nursing School, Nanded",20,20
3599,Amravati,Amravati,539,2022-23,ANM,"SHRI SANT LAHANUJI MAHARAJ SCHOOL OF NURSING, DARYAPUR, AMRAVATI",20,20
3600,Nashik,Nashik,541,2022-23,ANM,"KALWAN NURSING SCHOOL, KALWAN, NASHIK",20,19
3601,Nashik,Nashik,542,2022-23,ANM,"DINDORI SCHOOL OF NURSING, DINDORI, NASHIK",20,20
3602,Nashik,Nashik,543,2022-23,ANM,"YEOLA SCHOOL OF NURSING, YEOLA, NASHIK",20,20
3603,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,545,2022-23,ANM,"Yeshwant Institute of Nursing, Paithan Road, Aurangabad",30,18
3604,Chh. Sambhaji Nagar,Latur,546,2022-23,ANM,"SWAMI VIVEKANAND SHIKSHAN PRASARAK MANDAL, UDGIR, LATUR",20,0
3605,Amravati,Washim,548,2022-23,ANM,"Nazarene Nurses Training College, Pusad Road, Washim",20,15
3606,Nagpur,Gondia,550,2022-23,ANM,"Gondia Nursing College, Gondia",20,0
3607,Nagpur,Gondia,552,2022-23,ANM,"S. CHANDRA SCHOOL OF NURSING, ARJUNI GONDIA",20,15
3608,Amravati,Amravati,553,2022-23,ANM,"Sardar Nursing Institute, Walgaon Road, Amravati",20,14
3609,Amravati,Amravati,555,2022-23,ANM,"M.J. Pawade Nurisng School, Tal  Morshi, Amravati",20,20
3610,Nagpur,Wardha,557,2022-23,ANM,"Sunita Nursing School, Tal  Shelu, Wardha",20,12
3611,Nagpur,Gondia,558,2022-23,ANM,"S.R.V. NURSING SCHOOL, DAWAKI, TAL DEORI DIST GONDIA",20,20
3612,Chh. Sambhaji Nagar,Dharashiv,559,2022-23,ANM,"Late Changdevrao Banger Nursing School, Tal  Bhum, Osmanabad",20,9
3613,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,561,2022-23,ANM,"Prabhavati Nursing School, Aurangabad",20,19
3614,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,563,2022-23,ANM,GOGANATH BABA ANM NURSING SCHOOL CHITEGAON AURANGABAD,50,46
3615,Chh. Sambhaji Nagar,Beed,564,2022-23,ANM,"Late Ranghunathraoji Kendre Nursing School, Vaijnath, Beed",40,40
3616,Chh. Sambhaji Nagar,Latur,565,2022-23,ANM,"Sarojini Naidu School of Nursing, Chakur, Latur",20,19
3617,Chh. Sambhaji Nagar,Nanded,566,2022-23,ANM,"Indira Gandhi School of Nursing, Loha, Nanded",20,20
3618,Nashik,Nashik,567,2022-23,ANM,"MATOSHRI ASARABAI DARADE SCHOOL OF NURSING, YEOLA, NASHIK",60,18
3619,Amravati,Akola,568,2022-23,ANM,"MAHARSHI WALMIKI INSTITUTE OF NURSING MALKAPUR,AKOLA",60,59
3620,Amravati,Akola,571,2022-23,ANM,"AZAD HIND NURSING SCHOOL, AKOLA",20,20
3621,Amravati,Amravati,573,2022-23,ANM,"Gurumauli Institue of Nursing Science, Amravati",20,20
3622,Chh. Sambhaji Nagar,Hingoli,580,2022-23,ANM,"L.D.H.T. SCHOOL OF NURSING, HINGOLI",40,40
3623,Chh. Sambhaji Nagar,Hingoli,581,2022-23,ANM,"JAI HIND NURSING SCHOOL, HINGOLI",20,17
3624,Pune,Kolhapur,582,2022-23,ANM,"SANT GAJANAN MAHARAJ SCHOOL OF NURSING, CHINCHEWADI, GADHINGLAJ, KOLHAPUR",20,17
3625,Pune,Solapur,583,2022-23,ANM,"SAVITRIBAI PHULE NURSING SCHOOL, WAKHARI, SOLAPUR",20,10
3626,Konkan,Sindhudurg,584,2022-23,ANM,"MAI NURSING SCHOOL, KUDAL",20,15
3627,Nashik,Dhule,585,2022-23,ANM,"RANIMANSAHEB MANUBADEVI RAWAL NURSING SCHOOL, DONDAICHA, DHULE",40,39
3628,Nashik,Dhule,586,2022-23,ANM,"D.S. NURSING SCHOOL, SAKRI, DHULE",20,15
3629,Konkan,Palghar,587,2022-23,ANM,"SHREE GAJANAN MAHARAJ COLLEGE OF  NURSING AND RESEARCH CENTER JAWHAR, PALGHAR",20,19
3630,Nashik,Nashik,588,2022-23,ANM,"PETH NURSING SCHOOL, PETH, NASHIK",20,19
3631,Nashik,Nashik,589,2022-23,ANM,"IGATPURI NURSING SCHOOL, IGATPURI, NASHIK",20,20
3632,Nashik,Nashik,590,2022-23,ANM,"NIFAD NURSING SCHOOL, NIFAD, NASHIK",20,20
3633,Nashik,Nashik,591,2022-23,ANM,"MANMAD NURSING SCHOOL, YEOLA, NASHIK",20,20
